"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.126000001E-3,6.531436363E-1,-8.617252207E-1,-6.373785927E-1
1.805899999E-2,1.119087421E0,1.135225224E-1,-2.802867939E-1
2.799100001E-2,9.492184241E-1,1.130030558E0,-2.229126714E-2
3.792400000E-2,7.389140307E-1,1.885543445E0,-1.803000641E-1
4.785700000E-2,6.662871538E-1,2.385089205E0,-7.921299058E-1
5.778999999E-2,5.586777013E-1,2.754336780E0,-1.422807078E0
6.772200001E-2,3.867781857E-1,2.951059919E0,-2.031889898E0
7.765500000E-2,-9.076144615E-1,3.012248692E0,-2.130804906E0
8.758799999E-2,-1.713480792E0,3.550021209E0,-1.042228841E0
9.752000001E-2,-1.294863567E0,4.248622561E0,-1.097300184E-1
1.074530000E-1,-2.031012084E-1,4.683696921E0,-2.886057007E-1
1.173860000E-1,7.815022259E-1,4.870592644E0,-8.526204481E-1
1.273190000E-1,9.319143203E-1,4.949806044E0,-1.087868625E0
1.372510000E-1,-2.472590156E-2,5.069537140E0,-1.006421589E0
1.471840000E-1,-1.382406618E0,5.035491727E0,-2.135631198E-1
1.571170000E-1,-2.357381296E0,4.612846209E0,8.898696238E-1
1.670500000E-1,-2.558722858E0,3.940049204E0,2.008474138E0
1.769820000E-1,-1.971611682E0,2.916649055E0,2.721623363E0
1.869150000E-1,-7.077519527E-1,1.822829719E0,2.885766401E0
1.968480000E-1,9.849032503E-1,9.748074478E-1,3.047589848E0
2.067810000E-1,2.360652083E0,3.870073235E-1,3.182139543E0
2.167130000E-1,2.903989248E0,-5.352833569E-2,3.333511092E0
2.266460000E-1,2.544771987E0,-3.395624310E-1,3.296662524E0
2.365790000E-1,1.282318659E0,-5.817377311E-1,2.703877648E0
2.465120000E-1,-3.586599489E-1,-6.543092787E-1,1.770857327E0
2.564440000E-1,-2.024708055E0,-4.804212713E-1,7.305932236E-1
2.663770000E-1,-3.053413967E0,-2.638830882E-1,-5.475432505E-1
2.763100000E-1,-3.173256453E0,-4.271800339E-2,-1.328613111E0
2.862430000E-1,-2.613448119E0,8.385141134E-2,-1.373933710E0
2.961750000E-1,-1.730190234E0,6.863286316E-2,-9.062908711E-1
3.061080000E-1,-6.739902757E-1,-2.079737663E-2,-2.719394550E-1
3.160410000E-1,3.096971192E-1,-2.018879843E-1,2.156483831E-1
3.259730000E-1,1.041067218E0,-4.915122700E-1,5.444525220E-1
3.359060000E-1,1.404912698E0,-9.384558928E-1,4.706495507E-1
3.458390000E-1,1.358736066E0,-1.428097054E0,1.612550980E-1
3.557720000E-1,1.008662534E0,-1.958323154E0,1.666900849E-1
3.657040000E-1,7.761510003E-1,-2.374171284E0,7.596461378E-2
3.756370000E-1,8.935098810E-1,-2.642991176E0,-2.932934135E-1
3.855700000E-1,1.070866676E0,-2.963486422E0,-4.556273228E-1
3.955030000E-1,1.167471011E0,-3.324426273E0,-1.179729114E-1
4.054350000E-1,1.328385801E0,-3.625512271E0,1.111666793E-1
4.153680000E-1,1.557563325E0,-3.815409370E0,-1.651259547E-1
4.253010000E-1,1.800078787E0,-4.038465444E0,-3.508241683E-1
4.352340000E-1,1.841528968E0,-4.249869187E0,-3.512825900E-1
4.451660000E-1,1.587967823E0,-4.390367839E0,-1.672965143E-1
4.550990000E-1,1.016972889E0,-4.382209804E0,-3.845982707E-1
4.650320000E-1,3.274539803E-1,-4.202913707E0,-9.838349640E-1
4.749650000E-1,4.282782141E-2,-3.920629431E0,-1.591432006E0
4.848970000E-1,3.977221269E-3,-3.478878720E0,-1.717413776E0
4.948300000E-1,1.051143542E-1,-3.009790522E0,-1.514716537E0
5.047630000E-1,4.663509701E-1,-2.312084379E0,-1.000128888E0
5.146960000E-1,1.048376603E0,-1.476859909E0,-4.060873729E-1
5.246280000E-1,1.501814071E0,-5.383841354E-1,-7.350885630E-2
5.345610000E-1,1.539688387E0,2.284846294E-1,1.654411197E-2
5.444940000E-1,9.607340768E-1,8.746224242E-1,-3.165279096E-1
5.544270000E-1,-1.568323737E-1,1.404847940E0,-7.364375156E-1
5.643590000E-1,-1.465325691E0,1.850527979E0,-1.357354515E0
5.742920000E-1,-2.563255035E0,2.379958273E0,-2.146973042E0
5.842250000E-1,-3.030506915E0,2.889208657E0,-2.961052226E0
5.941580000E-1,-2.941600001E0,3.243416024E0,-3.091573774E0
6.040900000E-1,-2.435773016E0,3.316396877E0,-2.076894162E0
6.140230000E-1,-1.779565731E0,3.249887722E0,-1.147188628E0
