"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.698940277E-3,6.504674160E1,2.543311051E1,7.539292291E0,NaN,NaN,1.751618237E1,3.000000000E1
5.857896805E-2,6.504674113E1,2.543311068E1,7.539292291E0,NaN,NaN,2.874503920E1,3.000062849E1
1.785830975E0,6.504672279E1,2.543321263E1,7.833775833E0,NaN,NaN,1.908705588E1,3.000000000E1
2.681684017E0,6.504680511E1,2.543312036E1,9.829589844E0,5.099999905E-1,3.012890625E2,1.143263309E1,2.400000000E1
3.684632063E0,6.504681769E1,2.543304864E1,-9.396972656E-1,1.049999952E0,NaN,1.148373257E1,2.400000000E1
4.843569040E0,6.504693715E1,2.543285247E1,1.999023438E0,1.309999943E0,3.248437500E2,5.532572666E0,1.200000000E1
5.845128059E0,6.504695530E1,2.543288104E1,3.218261719E0,1.309999943E0,3.417187500E2,3.641867771E0,6.000000000E0
6.849807024E0,6.504696971E1,2.543286595E1,3.896606445E0,1.080000043E0,3.554296875E2,3.424887372E0,6.000000000E0
7.826262951E0,6.504699164E1,2.543285230E1,5.317932129E0,1.519999981E0,3.589453125E2,3.438445404E0,6.000000000E0
8.826338530E0,6.504700768E1,2.543283844E1,6.297241211E0,1.230000019E0,3.564843750E2,3.446838694E0,6.000000000E0
9.826405764E0,6.504702356E1,2.543282548E1,7.221191406E0,1.490000010E0,3.501562500E2,3.452491839E0,4.000000000E0
1.082648671E1,6.504703943E1,2.543282215E1,8.065795898E0,1.289999962E0,3.589453125E2,3.454488626E0,4.000000000E0
1.182655728E1,6.504705597E1,2.543281586E1,9.045410156E0,1.399999976E0,3.501562500E2,3.455992307E0,3.000000000E0
1.282661164E1,6.504706999E1,2.543281131E1,9.364929199E0,1.399999976E0,3.501562500E2,3.470109054E0,3.000000000E0
1.382667589E1,6.504708541E1,2.543280610E1,9.792663574E0,1.399999976E0,3.540234375E2,3.484876741E0,3.000000000E0
1.482673562E1,6.504710015E1,2.543280430E1,1.003001235E1,1.399999976E0,3.540234347E2,2.815942160E0,4.029364438E0
1.582677960E1,6.504711303E1,2.543280204E1,1.003769705E1,1.340000033E0,3.589453120E2,2.904186500E0,4.029364438E0
1.682683074E1,6.504712601E1,2.543279843E1,9.773334733E0,1.440000057E0,3.529687466E2,3.015119475E0,4.029364438E0
1.782687902E1,6.504713944E1,2.543279349E1,1.009351754E1,1.470000029E0,3.526171839E2,3.099415970E0,4.029364438E0
1.882691109E1,6.504715318E1,2.543278798E1,1.044556260E1,1.470000029E0,3.522656212E2,3.179570282E0,4.029364438E0
1.982695436E1,6.504717585E1,2.543276624E1,1.027891755E1,1.470000029E0,3.526171839E2,4.748651530E0,4.029364438E0
2.082700086E1,6.504719007E1,2.543275996E1,1.019938112E1,1.500000000E0,3.526171838E2,4.748651530E0,4.029364438E0
2.182703066E1,6.504720436E1,2.543275417E1,1.032083727E1,1.500000000E0,3.526171838E2,4.748651530E0,4.029364438E0
2.282705557E1,6.504721821E1,2.543274853E1,9.526262526E0,1.500000000E0,3.533203091E2,4.748651530E0,4.029364438E0
2.382707953E1,6.504723065E1,2.543274126E1,9.142221673E0,1.399999976E0,3.519140587E2,4.748651530E0,4.029364438E0
2.482710111E1,6.504724386E1,2.543273271E1,8.870182266E0,1.429999948E0,3.483984320E2,4.748651530E0,4.029364438E0
2.582712066E1,6.504725709E1,2.543272103E1,8.539537666E0,1.470000029E0,3.427734291E2,4.748651530E0,4.029364438E0
2.682713842E1,6.504726829E1,2.543270861E1,7.960907211E0,1.429999948E0,3.385546774E2,4.748651530E0,4.029364438E0
2.782715440E1,6.504727881E1,2.543268873E1,7.552932976E0,1.470000029E0,3.308202987E2,4.748651530E0,4.029364438E0
2.882716942E1,6.504728568E1,2.543266394E1,7.087951878E0,1.379999995E0,3.192187326E2,4.748651530E0,4.029364438E0
2.982718194E1,6.504728855E1,2.543263028E1,6.735143892E0,1.450000048E0,3.030468516E2,4.748651530E0,4.029364438E0
3.082719338E1,6.504728730E1,2.543259458E1,6.518324129E0,1.450000048E0,2.882812235E2,4.748651530E0,4.029364438E0
3.182720447E1,6.504728436E1,2.543256023E1,6.177005999E0,1.450000048E0,2.791405974E2,4.748651530E0,4.029364438E0
3.282721317E1,6.504728077E1,2.543252490E1,5.991621260E0,1.500000000E0,2.738671587E2,4.748651530E0,4.029364438E0
3.382722104E1,6.504727784E1,2.543249092E1,5.894674543E0,1.500000000E0,2.728124712E2,4.748651530E0,4.029364438E0
3.482722843E1,6.504725148E1,2.543246477E1,6.706892519E0,1.481287188E0,2.764233395E2,2.699365655E0,3.000000000E0
3.582723391E1,6.504725133E1,2.543242710E1,6.581202953E0,1.499781492E0,2.766408676E2,4.089280101E0,3.835780057E0
3.682723832E1,6.504724093E1,2.543238807E1,6.951773356E0,1.455940406E0,2.737751193E2,3.983696266E0,3.632690170E0
3.782724261E1,6.504724077E1,2.543234344E1,7.052695863E0,1.525168924E0,2.748462653E2,3.671876932E0,3.344853181E0
3.882724595E1,6.504726161E1,2.543232370E1,6.383149517E0,1.505307560E0,2.778711786E2,3.782901209E0,5.175735136E0
3.982724786E1,6.504726328E1,2.543229181E1,6.327201818E0,1.511287888E0,2.799752820E2,3.725216460E0,5.122255819E0
4.082724929E1,6.504726229E1,2.543225384E1,6.643083875E0,1.506810706E0,2.779908192E2,3.754790940E0,5.187117865E0
4.182725108E1,6.504726289E1,2.543221910E1,6.776736221E0,1.506541269E0,2.784978600E2,3.889331855E0,5.384248693E0
4.282725096E1,6.504726438E1,2.543218343E1,7.132046448E0,1.507650263E0,2.774034623E2,3.878708015E0,5.377827959E0
4.382725048E1,6.504726552E1,2.543214681E1,7.147617976E0,1.510482659E0,2.767957901E2,3.827699137E0,5.291678596E0
4.482725000E1,6.504727117E1,2.543211925E1,7.085033002E0,1.495047426E0,2.820323007E2,3.838350909E0,5.302887823E0
4.582724833E1,6.504727585E1,2.543208944E1,7.340619623E0,1.429929784E0,2.843615761E2,3.762428278E0,5.031821965E0
4.682724655E1,6.504727976E1,2.543206380E1,7.205490278E0,1.319972805E0,2.868870184E2,3.731911811E0,4.863844276E0
4.782724380E1,6.504728128E1,2.543203232E1,7.195812227E0,1.295559117E0,2.820118416E2,3.708192085E0,4.581873333E0
4.882724154E1,6.504728452E1,2.543200125E1,7.269895810E0,1.351053200E0,2.835158344E2,3.675198368E0,4.506531948E0
4.982723868E1,6.504728805E1,2.543196416E1,7.223903990E0,1.464570716E0,2.857518302E2,3.652593779E0,4.335923071E0
5.082723498E1,6.504728984E1,2.543193100E1,7.596000472E0,1.506792567E0,2.841056489E2,3.611153840E0,4.598813614E0
5.182723081E1,6.504729059E1,2.543189661E1,7.411071029E0,1.500898221E0,2.804419410E2,3.663089738E0,4.753475454E0
5.282722628E1,6.504729544E1,2.543186709E1,7.208730173E0,1.491532986E0,2.852235642E2,3.614536521E0,4.735010059E0
5.382722199E1,6.504730107E1,2.543184247E1,7.176355246E0,1.493802555E0,2.876582148E2,3.646880397E0,4.773199665E0
5.482721746E1,6.504730618E1,2.543181444E1,7.053037471E0,1.497131140E0,2.884080361E2,3.641964697E0,4.830580517E0
5.582721269E1,6.504730669E1,2.543178691E1,6.337836279E0,1.456896755E0,2.798588466E2,3.606697563E0,4.777712067E0
5.682720649E1,6.504731284E1,2.543176111E1,6.496841819E0,1.479838660E0,2.837271520E2,3.574555191E0,4.742855026E0
5.782720101E1,6.504731865E1,2.543173462E1,6.648440421E0,1.484460852E0,2.879150492E2,3.544877491E0,4.610341901E0
5.882719505E1,6.504732503E1,2.543171010E1,6.661660994E0,1.489342470E0,2.917486373E2,3.490779488E0,4.545765244E0
5.982718885E1,6.504731811E1,2.543168065E1,6.522427121E0,1.434126649E0,2.715088516E2,3.481535251E0,4.485276032E0
6.082718253E1,6.504730160E1,2.543166851E1,6.524516108E0,1.295120635E0,2.309194943E2,3.469541380E0,4.241104906E0
6.182717645E1,6.504728928E1,2.543167822E1,6.075333918E0,1.249609113E0,2.030813913E2,3.528457574E0,4.056634914E0
6.282716942E1,6.504727556E1,2.543167879E1,5.337685425E0,1.446367466E0,1.963407108E2,3.572193594E0,4.111887528E0
6.382716262E1,6.504726208E1,2.543167871E1,5.322275546E0,1.473494024E0,1.944932823E2,3.594507163E0,4.604417140E0
6.482715547E1,6.504725146E1,2.543167277E1,4.954171767E0,1.335249374E0,1.983678125E2,3.601280549E0,4.545280758E0
6.582714808E1,6.504724163E1,2.543167015E1,5.632328784E0,1.095121279E0,2.000784025E2,3.598999644E0,4.208873662E0
6.682714117E1,6.504722704E1,2.543167303E1,5.503727578E0,1.214603795E0,1.920606334E2,3.628311711E0,4.343243088E0
6.782713413E1,6.504721590E1,2.543167450E1,5.409581237E0,1.164512514E0,1.893851249E2,3.694780803E0,4.354088800E0
6.882712603E1,6.504720031E1,2.543167931E1,5.695694991E0,1.179263961E0,1.872076779E2,3.701835331E0,4.357868509E0
6.982711935E1,6.504718598E1,2.543167434E1,5.729382504E0,1.300237273E0,1.917271338E2,3.717613739E0,4.452253029E0
7.082711136E1,6.504717522E1,2.543167012E1,6.011955564E0,1.188090147E0,1.985392660E2,3.716294648E0,4.505330712E0
7.182710361E1,6.504716351E1,2.543166899E1,6.332468216E0,1.116961113E0,1.962802568E2,3.712633594E0,4.617910808E0
7.282709527E1,6.504714855E1,2.543166503E1,6.601431716E0,1.281196986E0,1.939477102E2,3.703959069E0,4.555082344E0
7.382708764E1,6.504713569E1,2.543166283E1,6.758805001E0,1.349767128E0,1.909158055E2,3.631381094E0,4.454236856E0
7.482707953E1,6.504712736E1,2.543166490E1,6.945863623E0,1.093700318E0,1.873145247E2,3.582478826E0,4.316473748E0
7.582707095E1,6.504711709E1,2.543165974E1,6.998449922E0,1.125864400E0,1.913848989E2,3.615169064E0,4.410305828E0
7.682706296E1,6.504710532E1,2.543165674E1,7.059841196E0,1.220078136E0,1.912086808E2,3.659028345E0,4.459003140E0
7.782705450E1,6.504709515E1,2.543165291E1,6.857643384E0,1.189399671E0,1.927753963E2,3.644946162E0,4.252534748E0
7.882704675E1,6.504708257E1,2.543164976E1,6.656848524E0,1.294863763E0,1.900072487E2,3.693713682E0,4.196174648E0
7.982703781E1,6.504706786E1,2.543166349E1,6.813656627E0,1.301585922E0,1.798504155E2,3.739032425E0,3.984316345E0
8.082702935E1,6.504705530E1,2.543168055E1,6.833159973E0,1.318010267E0,1.714172333E2,3.692613735E0,3.765738239E0
8.182702088E1,6.504704487E1,2.543171320E1,7.022248118E0,1.205938889E0,1.516237788E2,3.707419821E0,3.753907471E0
8.282701313E1,6.504703840E1,2.543174563E1,6.814252479E0,1.335666323E0,1.360469776E2,3.723446578E0,3.758169467E0
8.382700336E1,6.504702689E1,2.543178046E1,7.087844847E0,1.669566159E0,1.347662799E2,3.759098944E0,3.715562869E0
8.482699454E1,6.504702022E1,2.543180450E1,7.239467528E0,1.480448977E0,1.319209685E2,3.749056874E0,4.195644734E0
8.582698607E1,6.504700836E1,2.543183285E1,6.982998606E0,1.472335255E0,1.355971080E2,3.785544340E0,4.292967075E0
8.682697761E1,6.504699263E1,2.543184687E1,6.659608068E0,1.452257524E0,1.500950962E2,3.731300008E0,4.349325473E0
8.782696867E1,6.504697511E1,2.543184810E1,6.532262491E0,1.446381045E0,1.662286358E2,3.737901522E0,4.573142055E0
8.882695961E1,6.504696017E1,2.543184640E1,6.639584547E0,1.396004703E0,1.754270069E2,3.765753782E0,4.689353713E0
8.982695091E1,6.504694842E1,2.543184279E1,6.779464846E0,1.199839247E0,1.829120563E2,3.762309469E0,4.324667543E0
9.082694197E1,6.504694039E1,2.543183683E1,6.096124641E0,1.021307217E0,1.878188622E2,3.774186869E0,4.340798106E0
9.182693291E1,6.504692950E1,2.543184169E1,5.775278986E0,1.120511488E0,1.763297076E2,3.762631393E0,4.389032308E0
9.282692420E1,6.504691848E1,2.543183923E1,5.383056770E0,1.266177886E0,1.762093311E2,3.755493381E0,4.426524306E0
9.382691562E1,6.504690665E1,2.543183870E1,5.314821516E0,1.345037326E0,1.760757720E2,3.757346372E0,4.376490099E0
9.482690656E1,6.504689041E1,2.543183913E1,5.604356487E0,1.437292940E0,1.785488390E2,3.671558273E0,4.432632842E0
9.582689774E1,6.504687891E1,2.543183492E1,5.677881038E0,1.333573099E0,1.824332807E2,3.649759156E0,4.481257238E0
9.682688856E1,6.504686515E1,2.543183351E1,5.556400468E0,1.398101991E0,1.824502955E2,3.606072706E0,4.361137301E0
9.782687962E1,6.504685598E1,2.543182567E1,5.027580442E0,1.289206449E0,1.856749942E2,3.638083521E0,4.321079226E0
9.882687044E1,6.504684573E1,2.543182366E1,4.801568572E0,1.215135390E0,1.830644749E2,3.604943938E0,4.278034767E0
9.982686114E1,6.504683198E1,2.543181705E1,4.590507647E0,1.409291206E0,1.832518635E2,3.584136530E0,4.237012589E0
1.008268527E2,6.504682069E1,2.543180605E1,4.431660832E0,1.477123811E0,1.871104511E2,3.638811712E0,4.631206517E0
1.018268430E2,6.504681131E1,2.543178773E1,3.963840736E0,1.463133771E0,1.962576604E2,3.626459958E0,4.756803665E0
1.028268341E2,6.504680179E1,2.543177335E1,3.673613725E0,1.445918085E0,1.982171642E2,3.631246963E0,4.749976331E0
1.038268251E2,6.504679148E1,2.543176525E1,2.975102535E0,1.392244819E0,1.944650040E2,3.605452741E0,4.744891456E0
1.048268166E2,6.504678138E1,2.543176091E1,2.283414857E0,1.330297323E0,1.917102604E2,3.563832332E0,4.422769595E0
1.058268075E2,6.504677120E1,2.543176038E1,1.934249342E0,1.335545142E0,1.862708211E2,3.562161517E0,4.264248845E0
1.068267971E2,6.504675578E1,2.543176734E1,2.493288024E0,1.481100044E0,1.794068622E2,3.505132656E0,4.149609333E0
1.078267887E2,6.504674541E1,2.543176766E1,2.025518579E0,1.444322684E0,1.787147790E2,3.465069870E0,4.574210204E0
1.088267791E2,6.504673389E1,2.543176772E1,1.875136004E0,1.338790315E0,1.796083112E2,3.436947103E0,4.408655691E0
1.098267708E2,6.504671815E1,2.543177178E1,2.145800909E0,1.346554060E0,1.801535936E2,3.369261619E0,4.111494560E0
1.108267611E2,6.504671098E1,2.543176742E1,1.599194265E0,1.071281315E0,1.847959048E2,3.360901861E0,4.051551902E0
1.118267521E2,6.504669447E1,2.543177533E1,1.894710578E0,1.344798593E0,1.780928373E2,3.360043564E0,4.078004124E0
1.128267430E2,6.504668380E1,2.543177793E1,1.768147012E0,1.150983345E0,1.786342771E2,3.366643315E0,4.085877017E0
1.138267335E2,6.504667437E1,2.543177994E1,1.132892061E0,1.004869605E0,1.798213744E2,3.357330090E0,3.989191856E0
1.148267241E2,6.504666763E1,2.543177786E1,7.222078908E-1,7.413860965E-1,1.895047498E2,3.421204959E0,4.071028172E0
